from,to,relationship
lk,500,1
lk,SPD,2
uv,500,1
uv,CDU,2
nr,500,1
nr,CDU,2
sw,LINKE,1
sw,500,2
cs,500,1
cli,501,1
cli,FDP,2
nr,501,1
nr,CDU,2
ks,501,1
lm,501,1
kd,501,1
el,501,1
ab,502,1
ab,GRUENE,2
ft,502,1
am,502,1
al,502,1
al,FDP,2
er,502,1
